a,b,label
0.23,0.07,0.016100000000000003
0.22,0.39,0.0858
-0.78,0.26,-0.2028
-0.79,-0.67,0.5293000000000001
-0.71,0.52,-0.3692
0.41,0.96,0.39359999999999995
-0.65,0.27,-0.17550000000000002
0.6,-0.95,-0.57
-0.33,0.42,-0.1386
-0.68,0.69,-0.4692
0.69,0.99,0.6830999999999999
-0.21,0.21,-0.04409999999999999
0.93,0.8,0.7440000000000001
-0.68,0.56,-0.3808000000000001
0.07,-0.21,-0.014700000000000001
0.44,-0.57,-0.25079999999999997
0.78,0.24,0.1872
0.94,-0.41,-0.38539999999999996
-0.58,0.28,-0.16240000000000002
-0.74,-0.4,0.296
-0.36,0.29,-0.10439999999999999
0.53,0.26,0.1378
-0.56,-0.4,0.22400000000000003
0.76,0.3,0.22799999999999998
0.36,0.79,0.2844
0.66,-0.55,-0.36300000000000004
-0.77,0.14,-0.1078
0.05,0.86,0.043000000000000003
-0.66,-0.62,0.4092
-0.62,0.88,-0.5456
0.23,-0.51,-0.1173
0.17,0.19,0.0323
-0.45,-0.69,0.3105
-0.82,0.26,-0.2132
-0.23,-0.09,0.0207
0.16,-0.66,-0.10560000000000001
0.03,-0.15,-0.0045
-0.97,-0.09,0.08729999999999999
-0.38,0.26,-0.0988
0.1,0.7,0.06999999999999999
-0.27,0.39,-0.1053
0.3,0.0,0.0
-0.18,0.67,-0.1206
-0.19,-0.57,0.1083
0.58,0.75,0.43499999999999994
0.53,0.53,0.28090000000000004
0.94,0.55,0.517
0.38,-0.27,-0.10260000000000001
0.84,0.15,0.126
-0.42,-0.25,0.105
0.61,0.78,0.4758
0.45,-0.28,-0.12600000000000003
0.02,0.89,0.0178
-0.65,0.53,-0.34450000000000003
0.08,0.5,0.04
0.12,0.48,0.0576
0.77,-0.97,-0.7469
-1.0,-0.1,0.1
-0.06,0.83,-0.0498
0.52,-0.29,-0.1508
0.47,-0.48,-0.22559999999999997
-0.92,0.99,-0.9108
-0.49,-0.3,0.147
0.68,-0.87,-0.5916
-0.32,0.31,-0.0992
-0.7,0.24,-0.16799999999999998
-0.51,0.58,-0.2958
0.93,0.57,0.5301
-0.43,-0.22,0.0946
-0.07,-0.47,0.0329
0.49,-0.49,-0.24009999999999998
0.14,-0.45,-0.06300000000000001
0.94,-0.42,-0.3948
-0.79,-0.96,0.7584
-0.75,-1.0,0.75
-0.35,-0.75,0.26249999999999996
0.02,-0.97,-0.0194
-0.94,0.24,-0.22559999999999997
-0.16,-0.27,0.0432
0.11,-0.05,-0.0055000000000000005
0.87,0.95,0.8265
0.92,0.06,0.0552
0.29,0.06,0.0174
-0.03,0.86,-0.0258
-0.42,-0.07,0.029400000000000003
0.48,-0.14,-0.06720000000000001
0.56,-0.77,-0.4312
0.29,-1.0,-0.29
0.49,-0.2,-0.098
-0.78,-0.76,0.5928
0.88,0.16,0.1408
0.43,0.67,0.2881
0.79,-0.22,-0.1738
0.36,0.71,0.2556
-0.36,-0.06,0.021599999999999998
-0.91,0.22,-0.20020000000000002
-0.88,0.77,-0.6776
0.04,0.59,0.0236
